,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 10:03:25:207 AM,38418.769531,-49492.949219,4875.25,-2.0,-5.0,3.0,146.478012,619.65802,-57.903004,-21.698002,24.0,-34.0,8.0,-0.03,1.0,0.0,true
May 22 2024 10:03:25:300 AM,38479.789062,-49498.898438,4873.239746,-1.0,-5.0,3.0,148.490005,666.386047,-65.366005,-22.593,467.0,-75.0,-9.0,-0.03,1.0,0.0,true
May 22 2024 10:03:25:402 AM,38550.890625,-49506.167969,4871.0,-1.0,-6.0,3.0,150.729004,710.061035,-73.254005,-22.742001,437.0,-79.0,-1.0,-0.03,1.0,0.0,true
May 22 2024 10:03:25:507 AM,38627.019531,-49514.359375,4868.709961,-1.0,-6.0,3.0,153.017014,748.980042,-81.325005,-22.614,389.0,-81.0,1.0,-0.03,1.0,0.0,true
May 22 2024 10:03:25:606 AM,38703.730469,-49523.039062,4866.52002,0.0,-6.0,3.0,155.207001,782.821045,-89.326004,-22.106001,338.0,-80.0,5.0,-0.03,1.0,0.0,true
May 22 2024 10:03:25:706 AM,38784.140625,-49532.609375,4864.379883,0.0,-7.0,3.0,157.354004,814.472046,-97.683006,-21.375002,317.0,-84.0,7.0,-0.03,1.0,0.0,true
May 22 2024 10:03:25:801 AM,38863.289062,-49542.488281,4862.419922,0.0,-7.0,4.0,159.313004,842.820068,-105.946007,-20.562,283.0,-83.0,8.0,-0.03,1.0,0.0,true
May 22 2024 10:03:25:907 AM,38955.058594,-49554.519531,4860.339844,0.0,-7.0,4.0,161.386002,873.163025,-115.610008,-19.289001,303.0,-97.0,13.0,-0.03,1.0,0.0,true
May 22 2024 10:03:26:7 AM,39043.609375,-49566.699219,4858.529785,0.0,-8.0,4.0,163.202011,900.405029,-125.103004,-17.898001,272.0,-95.0,14.0,-0.03,1.0,0.0,true
May 22 2024 10:03:26:101 AM,39129.597656,-49579.078125,4856.97998,0.0,-8.0,4.0,164.754013,925.345032,-134.414001,-16.192001,249.0,-93.0,17.0,-0.03,1.0,0.0,true
May 22 2024 10:03:26:206 AM,39228.617188,-49594.007812,4855.389648,0.0,-9.0,4.0,166.341003,952.501038,-145.347,-14.602,272.0,-109.0,16.0,-0.03,1.0,0.0,true
