,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 21 2024 10:37:10:313 AM,40637.4375,-43165.929688,4915.159668,-1.0,172.0,-17.0,256.738007,-916.841064,412.247009,11.402,-108.0,-1379.0,-94.0,1.02,1.0,0.0,false
May 21 2024 10:37:10:412 AM,40555.25,-43148.699219,4924.989746,-3.0,-177.0,-28.0,266.572021,-902.77002,292.53302,6.027,141.0,-1197.0,-54.0,1.02,1.0,0.0,false
May 21 2024 10:37:10:508 AM,40474.867188,-43134.078125,4938.540039,-2.0,-169.0,-38.0,280.123016,-893.811035,235.468018,9.059,90.0,-571.0,30.0,1.02,1.0,0.0,false
May 21 2024 10:37:10:610 AM,40393.21875,-43132.1875,4961.859863,1.0,-163.0,-57.0,303.437012,-875.253052,184.687012,-36.016003,186.0,-508.0,-451.0,1.02,1.0,0.0,false
May 21 2024 10:37:10:716 AM,40310.800781,-43126.1875,4991.870117,5.0,-160.0,-85.0,333.452026,-864.106018,172.628006,-166.202011,111.0,-121.0,-1302.0,1.02,1.0,0.0,true
May 21 2024 10:37:10:808 AM,40235.609375,-43107.980469,5004.72998,3.0,-160.0,-100.0,346.31601,-789.667053,188.854004,-68.865005,744.0,162.0,973.0,1.02,1.0,0.0,true
May 21 2024 10:37:10:910 AM,40157.550781,-43093.007812,5010.659668,-5.0,-160.0,-103.0,352.245026,-705.823059,120.828003,72.291,838.0,-680.0,1412.0,1.02,1.0,0.0,false
May 21 2024 10:37:11:12 AM,40083.890625,-43081.199219,5011.759766,-11.0,-159.0,-104.0,353.344025,-705.049011,120.726006,-27.634001,8.0,-1.0,-999.0,1.02,1.0,0.0,false
May 21 2024 10:37:11:112 AM,40011.769531,-43069.609375,5002.75,-18.0,-159.0,-105.0,362.356018,-704.290039,120.626007,-125.593002,8.0,-1.0,-980.0,1.02,1.0,0.0,false
May 21 2024 10:37:11:213 AM,39938.808594,-43057.839844,4983.399902,-24.0,-158.0,-105.0,381.702026,-703.52002,120.525009,-224.861008,8.0,-1.0,-993.0,1.02,1.0,0.0,false
May 21 2024 10:37:11:313 AM,39868.167969,-43045.460938,4962.339844,-27.0,-158.0,-107.0,402.765015,-701.410034,127.777008,-228.327011,21.0,73.0,-35.0,1.02,1.0,0.0,false
