,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 20 2024 2:45:55:76 PM,40704.878906,-42543.378906,4901.560059,1.0,72.0,5.0,512.831055,270.143005,883.215027,-5.759,-263.0,271.0,16.0,0.98,1.0,0.0,true
May 20 2024 2:45:55:176 PM,40721.238281,-42451.488281,4900.859863,1.0,78.0,1.0,513.539001,178.921005,910.341064,-3.141,-912.0,271.0,26.0,0.98,1.0,0.0,true
May 20 2024 2:45:55:276 PM,40725.160156,-42359.210938,4900.439941,1.0,87.0,-2.0,513.958008,49.528004,917.660034,-5.741,-1294.0,73.0,-26.0,0.98,1.0,0.0,true
May 20 2024 2:45:55:376 PM,40716.378906,-42270.359375,4900.779785,0.0,97.0,-4.0,514.301025,-102.854004,894.263062,7.821001,-1524.0,-234.0,136.0,0.98,1.0,0.0,false
May 20 2024 2:45:55:476 PM,40693.929688,-42185.609375,4902.27002,0.0,108.0,-5.0,515.794006,-257.917023,848.374023,12.965,-1551.0,-459.0,51.0,0.98,1.0,0.0,false
May 20 2024 2:45:55:576 PM,40657.71875,-42107.378906,4903.649902,0.0,119.0,-6.0,517.167053,-400.290009,776.485046,4.889,-1424.0,-719.0,-81.0,0.98,1.0,0.0,false
May 20 2024 2:45:55:676 PM,40609.117188,-42037.699219,4904.739746,0.0,129.0,-7.0,518.259033,-529.944031,678.504028,3.875,-1297.0,-980.0,-10.0,0.98,1.0,0.0,false
May 20 2024 2:45:55:776 PM,40549.988281,-41979.617188,4904.919922,0.0,139.0,-7.0,518.443054,-637.559021,562.580017,-2.1,-1076.0,-1159.0,-60.0,0.98,1.0,0.0,false
May 20 2024 2:45:55:876 PM,40482.519531,-41933.710938,4904.639648,-1.0,150.0,-7.0,518.722046,-720.579041,437.890015,-2.18,-830.0,-1247.0,-1.0,-0.02,1.0,0.0,false
May 20 2024 2:45:55:976 PM,40407.480469,-41897.847656,4903.330078,-1.0,159.0,-7.0,520.040039,-796.541016,337.650024,-30.564001,-760.0,-1002.0,-284.0,-1.02,1.0,0.0,false
May 20 2024 2:45:56:76 PM,40325.96875,-41867.109375,4899.779785,-1.0,163.0,-6.0,523.58905,-852.962036,277.489014,-40.440002,-564.0,-602.0,-99.0,-1.02,1.0,0.0,false
May 20 2024 2:45:56:176 PM,40240.949219,-41836.839844,4894.659668,-2.0,163.0,-4.0,528.710022,-878.169067,287.777008,-50.208004,-252.0,103.0,-98.0,-1.02,1.0,0.0,false
May 20 2024 2:45:56:276 PM,40155.378906,-41800.308594,4889.929688,-2.0,159.0,-1.0,533.439026,-870.28302,350.988007,-44.547001,79.0,632.0,57.0,-1.02,1.0,0.0,false
May 20 2024 2:45:56:376 PM,40071.898438,-41755.070312,4885.189941,-2.0,153.0,2.0,538.175049,-842.042053,429.250031,-50.873001,282.0,783.0,-63.0,-1.02,0.0,0.0,false
May 20 2024 2:45:56:476 PM,39990.410156,-41704.710938,4881.899902,0.0,147.0,3.0,541.465027,-782.676025,499.359009,-26.296001,594.0,701.0,246.0,-1.02,1.0,0.0,false
May 20 2024 2:45:56:576 PM,39914.097656,-41649.960938,4881.350098,1.0,142.0,3.0,542.017029,-723.489014,556.444031,-10.183001,592.0,571.0,161.0,-1.02,1.0,0.0,false
May 20 2024 2:45:56:676 PM,39845.308594,-41591.828125,4879.799805,1.0,138.0,3.0,543.562012,-671.370056,590.480042,-17.490002,521.0,340.0,-73.0,-1.02,1.0,0.0,false
May 20 2024 2:45:56:776 PM,39784.488281,-41533.9375,4879.299805,-1.0,134.0,2.0,544.071045,-611.02301,615.112,-10.021001,603.0,246.0,75.0,-1.02,1.0,0.0,false
May 20 2024 2:45:56:876 PM,39730.558594,-41472.738281,4879.139648,-3.0,128.0,3.0,544.227051,-550.608032,634.749023,-14.939001,604.0,196.0,-49.0,-1.02,1.0,0.0,false
May 20 2024 2:45:56:976 PM,39682.308594,-41407.277344,4876.72998,-3.0,122.0,5.0,546.632996,-492.970032,635.196045,-45.470001,576.0,4.0,-305.0,-1.02,0.0,0.0,false
May 20 2024 2:45:57:76 PM,39639.097656,-41341.117188,4873.239746,-2.0,117.0,7.0,550.131042,-435.677032,644.125061,-37.468002,573.0,89.0,80.0,-0.02,0.0,0.0,false
May 20 2024 2:45:57:176 PM,39602.777344,-41274.210938,4871.129883,-1.0,113.0,10.0,552.235046,-371.178009,641.154053,-18.831001,645.0,-30.0,186.0,-0.02,0.0,0.0,false
May 20 2024 2:45:57:276 PM,39569.21875,-41211.117188,4869.870117,-1.0,110.0,10.0,553.498047,-322.559021,632.847046,-17.953001,486.0,-83.0,9.0,-0.02,0.0,0.0,false
