,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 4 2024 10:59:05:998 AM,37602.550781,-49438.589844,4912.159668,-3.0,0.0,2.0,108.755005,0.021,0.027,0.259,0.0,1.0,5.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:06:98 AM,37602.550781,-49438.589844,4912.169922,-3.0,0.0,2.0,108.765007,0.018,-0.043,0.068,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:06:190 AM,37602.550781,-49438.589844,4912.169922,-3.0,0.0,2.0,108.768005,0.014,-0.056,-0.043,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:06:292 AM,37602.550781,-49438.589844,4912.169922,-3.0,0.0,2.0,108.772003,0.014,-0.023,-0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:06:387 AM,37602.550781,-49438.589844,4912.169922,-3.0,0.0,2.0,108.774002,0.006,-0.035,-0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:06:483 AM,37602.550781,-49438.578125,4912.149902,-3.0,0.0,2.0,108.790009,0.014,-0.009,0.023,0.0,0.0,1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:06:596 AM,37602.550781,-49438.578125,4912.149902,-3.0,0.0,2.0,108.795006,0.026,-0.001,0.153,0.0,0.0,1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:06:692 AM,37602.550781,-49438.578125,4912.139648,-3.0,0.0,2.0,108.807007,-0.011,-0.071,-0.575,0.0,-1.0,-7.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:06:790 AM,37602.550781,-49438.589844,4912.149902,-3.0,0.0,2.0,108.825005,0.021,-0.008,0.252,0.0,1.0,8.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:06:892 AM,37602.550781,-49438.589844,4912.159668,-3.0,0.0,2.0,108.828003,0.013,-0.008,0.018,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:06:991 AM,37602.550781,-49438.589844,4912.159668,-3.0,0.0,2.0,108.830002,0.012,-0.027,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:07:97 AM,37602.550781,-49438.589844,4912.149902,-3.0,0.0,2.0,108.836006,0.007,-0.084,-0.239,0.0,-1.0,-3.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:07:193 AM,37602.550781,-49438.589844,4912.159668,-3.0,0.0,2.0,108.849007,0.034,-0.006,0.123,0.0,1.0,4.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:07:302 AM,37602.550781,-49438.578125,4912.139648,-3.0,0.0,2.0,108.869003,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:07:390 AM,37602.550781,-49438.589844,4912.159668,-3.0,0.0,2.0,108.883003,0.032,0.015,0.299,0.0,0.0,3.0,0.0,0.0,0.0,0.0,true
