,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,VO,OutOfBounds
Jun 6 2024 9:24:19:183 AM,37602.929688,-49438.179688,4911.359863,-3.0,0.0,2.0,110.057007,0.455,-0.521,3.767,-2.0,1.0,-21.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:19:229 AM,37602.949219,-49438.199219,4911.509766,-3.0,0.0,2.0,110.200005,0.375,-0.528,3.025,-2.0,0.0,-15.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:19:281 AM,37602.96875,-49438.21875,4911.659668,-3.0,0.0,2.0,110.352005,0.307,-0.413,2.814,-1.0,2.0,-4.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:19:339 AM,37602.980469,-49438.257812,4911.77002,-3.0,0.0,2.0,110.463005,0.2,-0.487,1.694,-2.0,-1.0,-22.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:19:381 AM,37602.988281,-49438.277344,4911.839844,-3.0,0.0,2.0,110.532005,0.181,-0.46,1.568,0.0,1.0,-3.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:19:436 AM,37603.0,-49438.308594,4911.909668,-3.0,0.0,2.0,110.603004,0.118,-0.469,1.044,-1.0,0.0,-10.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:19:491 AM,37603.0,-49438.328125,4911.969727,-3.0,0.0,2.0,110.659004,0.093,-0.165,0.953,-1.0,6.0,-2.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:19:537 AM,37603.0,-49438.328125,4911.989746,-3.0,0.0,2.0,110.685005,0.049,-0.04,0.397,-1.0,3.0,-11.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:19:583 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,-1.0,1.0,-8.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:19:640 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:19:683 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:19:742 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:19:783 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:19:838 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:19:883 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:19:943 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:19:985 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:28 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:87 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:132 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:194 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:243 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:285 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:331 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:385 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:429 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:489 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:534 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:582 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:642 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:685 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:741 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:784 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:834 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:890 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:934 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:20:986 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:40 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:82 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:133 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:194 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:234 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:283 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:336 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:391 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:434 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:483 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:537 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:582 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:642 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:684 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:743 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:784 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:841 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:885 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:943 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:21:988 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:34 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:87 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:130 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:187 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:239 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:292 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:349 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:383 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:433 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:489 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:531 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:586 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:630 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:688 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:733 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:791 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:838 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:883 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:932 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:22:987 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:32 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:91 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:133 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:189 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:230 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:284 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:341 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:382 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:438 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:489 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:534 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:590 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:630 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:686 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:730 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:785 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:841 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:882 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:936 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:23:991 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:24:35 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:24:91 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:24:143 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:24:185 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:24:24:239 AM,37603.0,-49438.328125,4912.0,-3.0,0.0,2.0,110.693008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
